1.318;Ankle_left;-0.042;-0.806;-0.193
1.318;Ankle_right;0.031;-0.798;-0.233
1.318;Elbow_left;-0.226;0.005;-0.039
1.318;Elbow_right;0.221;0.044;-0.099
1.318;Foot_left;0.000;0.000;0.000
1.318;Foot_right;0.000;0.000;0.000
1.318;Hand_left;-0.254;-0.278;0.054
1.318;Hand_right;0.266;-0.266;0.009
1.318;Head;-0.015;0.610;-0.069
1.318;Hip_center;-0.005;0.003;-0.077
1.318;Hip_left;-0.080;-0.080;-0.056
1.318;Hip_right;0.072;-0.069;-0.083
1.318;Knee_Right;0.094;-0.412;-0.128
1.318;Knee_left;-0.125;-0.421;-0.096
1.318;Shoulder_center;-0.011;0.421;-0.105
1.318;Shoulder_left;-0.178;0.286;-0.076
1.318;Shoulder_right;0.163;0.310;-0.125
1.318;Spine;-0.013;0.068;-0.129
1.318;Wrist_left;-0.264;-0.228;0.025
1.318;Wrist_right;0.268;-0.183;-0.015
1.496;Ankle_left;-0.042;-0.806;-0.193
1.496;Ankle_right;0.031;-0.798;-0.233
1.496;Elbow_left;-0.226;0.005;-0.039
1.496;Elbow_right;0.221;0.044;-0.099
1.496;Foot_left;0.000;0.000;0.000
1.496;Foot_right;0.000;0.000;0.000
1.496;Hand_left;-0.254;-0.278;0.054
1.496;Hand_right;0.266;-0.266;0.009
1.496;Head;-0.015;0.610;-0.069
1.496;Hip_center;-0.005;0.003;-0.077
1.496;Hip_left;-0.080;-0.080;-0.056
1.496;Hip_right;0.072;-0.069;-0.083
1.496;Knee_Right;0.094;-0.412;-0.128
1.496;Knee_left;-0.125;-0.421;-0.096
1.496;Shoulder_center;-0.011;0.421;-0.105
1.496;Shoulder_left;-0.178;0.286;-0.076
1.496;Shoulder_right;0.163;0.310;-0.125
1.496;Spine;-0.013;0.068;-0.129
1.496;Wrist_left;-0.264;-0.228;0.025
1.496;Wrist_right;0.268;-0.183;-0.015
1.776;Ankle_left;-0.031;-0.807;-0.198
1.776;Ankle_right;0.026;-0.805;-0.238
1.776;Elbow_left;-0.225;0.004;-0.039
1.776;Elbow_right;0.221;0.044;-0.098
1.776;Foot_left;0.000;0.000;0.000
1.776;Foot_right;0.000;0.000;0.000
1.776;Hand_left;-0.252;-0.281;0.054
1.776;Hand_right;0.269;-0.264;0.009
1.776;Head;-0.015;0.609;-0.069
1.776;Hip_center;-0.004;0.003;-0.077
1.776;Hip_left;-0.078;-0.078;-0.057
1.776;Hip_right;0.075;-0.071;-0.083
1.776;Knee_Right;0.093;-0.419;-0.131
1.776;Knee_left;-0.123;-0.426;-0.098
1.776;Shoulder_center;-0.011;0.421;-0.105
1.776;Shoulder_left;-0.177;0.286;-0.076
1.776;Shoulder_right;0.164;0.309;-0.125
1.776;Spine;-0.011;0.068;-0.128
1.776;Wrist_left;-0.262;-0.230;0.025
1.776;Wrist_right;0.271;-0.183;-0.014
2.072;Ankle_left;-0.020;-0.807;-0.202
2.072;Ankle_right;0.021;-0.807;-0.242
2.072;Elbow_left;-0.226;0.003;-0.039
2.072;Elbow_right;0.222;0.042;-0.096
2.072;Foot_left;0.000;0.000;0.000
2.072;Foot_right;0.000;0.000;0.000
2.072;Hand_left;-0.251;-0.282;0.056
2.072;Hand_right;0.272;-0.263;0.009
2.072;Head;-0.014;0.609;-0.071
2.072;Hip_center;-0.003;0.004;-0.077
2.072;Hip_left;-0.078;-0.077;-0.057
2.072;Hip_right;0.077;-0.072;-0.082
2.072;Knee_Right;0.092;-0.418;-0.131
2.072;Knee_left;-0.123;-0.425;-0.097
2.072;Shoulder_center;-0.010;0.420;-0.105
2.072;Shoulder_left;-0.178;0.285;-0.076
2.072;Shoulder_right;0.166;0.309;-0.126
2.072;Spine;-0.010;0.068;-0.129
2.072;Wrist_left;-0.261;-0.231;0.027
2.072;Wrist_right;0.275;-0.185;-0.015
2.322;Ankle_left;-0.024;-0.808;-0.200
2.322;Ankle_right;0.023;-0.806;-0.240
2.322;Elbow_left;-0.225;0.001;-0.041
2.322;Elbow_right;0.224;0.041;-0.098
2.322;Foot_left;0.000;0.000;0.000
2.322;Foot_right;0.000;0.000;0.000
2.322;Hand_left;-0.249;-0.281;0.054
2.322;Hand_right;0.275;-0.262;0.005
2.322;Head;-0.013;0.609;-0.072
2.322;Hip_center;-0.001;0.004;-0.079
2.322;Hip_left;-0.076;-0.076;-0.058
2.322;Hip_right;0.078;-0.072;-0.084
2.322;Knee_Right;0.093;-0.417;-0.132
2.322;Knee_left;-0.121;-0.423;-0.097
2.322;Shoulder_center;-0.009;0.419;-0.107
2.322;Shoulder_left;-0.179;0.285;-0.078
2.322;Shoulder_right;0.166;0.308;-0.130
2.322;Spine;-0.009;0.068;-0.130
